Text;Entities
Od blisko dwóch miesięcy Wojciech Szczęsny jest piłkarzem FC Barcelony, do której dołączył jako potencjalny zastępca Marca-Andre ter Stegena. Niemiecki bramkarz najpewniej nie zagra do końca sezonu, ale dotychczas Polak tylko przyglądał się poczynaniom Inakiego Peni w bramce katalońskiego klubu. Ile spotkań Szczęsny spędził już na ławce rezerwowych? Osiem. W tych spotkaniach Barcelona odniosła sześć zwycięstw, remis i porażkę przy bilansie bramkowym 26:8 i dwóch czystych kontach.;[('Wojciech Szczęsny', 'persName', (25, 42)), ('Marca-Andre ter Stegena', 'persName', (117, 140)), ('Szczęsny', 'persName', (309, 317)), ('FC Barcelony', 'orgName', (58, 70)), ('Barcelona', 'orgName', (378, 387)), ('Inakiego Peni', 'persName', (253, 266))]
Legia idzie jak burza w tej edycji Ligi Konferencji. Tylko stołeczni i Chelsea wygrali wszystkie spotkania fazy zasadniczej. Ale legioniści są jedynym zespołem w LK, który nie stracił żadnego gola. Jagiellonia Białystok została zatrzymana przez słoweńskie Celje. W tabeli rozgrywek sytuacja wygląda i tak znakomicie - Legia i Jagiellonia zajmują miejsca na podium, ustępują jedynie Chelsea. W rankingu UEFA nasz współczynnik jest coraz lepszy.;[('Legia', 'orgName', (0, 5)), ('Ligi Konferencji', 'orgName', (35, 51)), ('Chelsea', 'orgName', (71, 78)), ('LK', 'orgName', (162, 164)), ('Jagiellonia Białystok', 'orgName', (198, 219)), ('Celje', 'orgName', (256, 261)), ('Legia', 'orgName', (318, 323)), ('Jagiellonia', 'orgName', (326, 337)), ('Chelsea', 'orgName', (382, 389)), ('UEFA', 'orgName', (402, 406))]
Od poprzedniej rundy F1, rozegranej na słynnym torze Interlagos w stolicy Brazylii – Sao Paulo, minęły aż trzy tygodnie. W tamtejszym deszczowym wyścigu, pomimo startu dopiero z siedemnastego pola, po zwycięstwo sięgnął Max Verstappen. Dzięki temu już w ten weekend w Las Vegas, przy finiszu przed swoim głównym rywalem Lando Norrisem, Holender mógłby cieszyć się ze zdobycia kolejnego mistrzostwa.;[('F1', 'orgName', (21, 23)), ('Max Verstappen', 'persName', (220, 234)), ('Lando Norrisem', 'persName', (320, 334)), ('Brazylii', 'placeName', (74, 82)), ('Sao Paulo', 'placeName', (85, 94)), ('Las Vegas', 'placeName', (268, 277))]
Kilka dni temu Robert Lewandowski kolejny raz przeszedł do historii piłki nożnej. Jako trzeci piłkarz przekroczył granicę stu goli w Lidze Mistrzów. Mogłoby się wydawać, że napastnik Barcelony powinien znaleźć się na liście zawodników nominowanych przez FIFA do nagrody The Best przyznawanej najlepszemu piłkarzowi w roku. Tymczasem rzeczywistość okazała się zupełnie inna.;[('Robert Lewandowski', 'persName', (15, 33)), ('Lidze Mistrzów', 'orgName', (133, 147)), ('Barcelony', 'orgName', (183, 192)), ('FIFA', 'orgName', (254, 258)), ('The Best', 'orgName', (270, 278))]
W czwartek Międzynarodowa Agencja ds. Integralności Tenisa (ITIA) poinformowała o pozytywnym teście antydopingowym Igi Świątek. W badaniu przeprowadzonym 12 sierpnia podczas turnieju w Cincinnati w organizmie ówczesnej liderki rankingu WTA wykryto trimetazydynę - na szczęście dla Świątek: o bardzo niskim stężeniu.;[('ITIA', 'orgName', (60, 64)), ('Międzynarodowa Agencja ds. Integralności Tenisa', 'orgName', (11, 58)), ('Cincinnati', 'placeName', (185, 195)), ('WTA', 'orgName', (236, 239)), ('Świątek', 'persName', (281, 288)), ('Igi Świątek', 'persName', (115, 126)), ('12 sierpnia', 'date', (154, 165))]
Reprezentant Polski znajduje się w znakomitej formie na początku nowego sezonu NBA. Jeremy Sochan w każdym spotkaniu jest liderem San Antonio Spurs, jeżeli chodzi o zdobycze punktowe. Oddaje zdecydowanie więcej rzutów niż w poprzednim sezonie i czuje się jeszcze pewniej z piłką w rękach.;[('Polski', 'placeName', (13, 19)), ('NBA', 'orgName', (79, 82)), ('San Antonio Spurs', 'orgName', (130, 147)), ('Jeremy Sochan', 'persName', (84, 97))]
"W ramach wspólnego patrolu, który ma być przeprowadzany ""zgodnie z rocznym planem współpracy"", Chiny i Rosja ponownie weszły w strefę obrony powietrznej Korei Południowej. Jak odpowiedział Seul?";[('Seul', 'placeName', (189, 193)), ('Chiny', 'placeName', (95, 100)), ('Rosja', 'placeName', (103, 108)), ('Korei Południowej', 'placeName', (153, 170))]
Kolejnym problemem Gladiatora 2 jest Paul Mescal. Pod tym względem też przypomina mi się Królestwo niebieskie, w którym największą wadą – nawet w arcydobrej wersji reżyserskiej – okazał się Orlando Bloom w głównej roli.;[('Paul Mescal', 'persName', (37, 48)), ('Orlando Bloom', 'persName', (190, 203)), ('Królestwo niebieskie', 'orgName', (89, 109)), ('Gladiatora 2', 'orgName', (19, 31))]
Chiński statek Yi Peng został zatrzymany ponad tydzień temu przez duńskie służby i stoi od tego czasu w cieśninie Kattegat. W związku ze sprawą padły między innymi podejrzenia o sabotaż. Chiny odniosły się do incydentu.;[('Yi Peng', 'orgName', (15, 22)), ('Kattegat', 'geogName', (114, 122)), ('Chiny', 'placeName', (187, 192))]
Własny komitet i rozdawanie pieniędzy: Większość środków trafiła do utworzonego przez Muska komitetu America PAC, który działał niezależnie od sztabu wyborczego Trumpa. Finansowano wysyłanie ulotek, reklamy i akwizycję wyborców. Z kolei organizacja Super PAC (również założona przez Elona Muska) prowadziła kampanię polegającą na przekazywaniu darowizn w wysokości miliona dolarów losowo wybranym zwolennikom Trumpa w siedmiu kluczowych stanach.;[('Musk', 'persName', (86, 91)), ('America PAC', 'orgName', (101, 112)), ('Trump', 'persName', (161, 167)),('Super PAC', 'orgName', (250, 258)),('Elon Musk', 'persName', (284, 294)),('Trump', 'persName', (410,415 ))]
W 2018 r. PGNiG zawarło kontrakt na dostawę LNG z USA do Polski. Wtedy tamtejsze władze spółki zapewniały, że ta umowa gazowa jest dla naszego kraju korzystna.;[('2018 r.', 'date', (2, 9)),('PGNiG', 'orgName', (10, 15)), ('USA', 'placeName', (50, 53)), ('Polska', 'placeName', (57, 63))]
Piotr Żyła upadł i mimo zakrwawionej całej twarzy uciekał ratownikom medycznym, bo chciał skakać dalej. - Gdyby decydował sport, konkurs zacząłby się o innej godzinie - mówiła w rozmowie ze Sport.pl Agnieszka Baczkowska, szefowa zawodów. Pięć lat temu decyzją TVP skoki w Wiśle stały się mniej ważne niż finał dziecięcej Eurowizji w Gliwicach.;[('Piotr Żyła', 'persName', (0, 10)),('Agnieszka Baczkowska', 'persName', (199,219)), ('TVP', 'orgName', (260, 263)), ('Wisła', 'geogName', (272, 277)),('Eurowizja', 'orgName', (321, 330)),('Gliwice', 'placeName', (333,342 ))]
Zwycięstwo Donalda Trumpa w wyborach prezydenckich w USA sprawiło, że pojawiły się nowe potencjalne scenariusze zakończenia wojny Rosji w Ukrainie. Główne propozycje i wyzwania są jednak na tyle zróżnicowane, że przed światem długa i wyboista droga, by zapewnić trwały pokój. Tym bardziej że republikanina nie interesuje to, co dla Kijowa jest kluczowe.;[('Donald Trump', 'persName', (11, 25)),('USA', 'placeName', (53,56)), ('Rosja', 'placeName', (130, 135)), ('Ukraina', 'geogName', (272, 277)),('Kijów', 'placeName', (332, 338))]
"Amerykański urzędnik przekazał informacje na temat nalotów przeprowadzonych przez armię USA w środkowej części Syrii. Były one wymierzone w ""przywódców, agentów i obozy ISIS"". Amerykanie użyli do tego bombowców B-52, myśliwców F-15 i samolotów A-10 — podaje CNN.";[('Ameryka', 'geogName', (0, 11)),('USA', 'placeName', (88,91)), ('Syria', 'placeName', (111, 116)), ('ISIS', 'orgName', (169, 173)),('Ameryka', 'geogName', (176, 186)),('CNN', 'orgName', (258, 261)) ]
Prezydent Korei Południowej Jun Suk Jeol otrzymał zakaz opuszczania kraju w związku z nieudaną próbą wprowadzenia stanu wojennego — podaje Reuters. O zakazie zagranicznych podróży poinformował w parlamencie koreański minister sprawiedliwości.;[('Korea Południowa', 'placeName', (10, 27)),('Jun Suk Jeol', 'persName', (28,40)), ('Reuters', 'orgName', (140, 146)), ('Korea', 'placeName', (207, 216))]
W poniedziałek (9 grudnia) o godz. 12 odbędzie się konferencja prasowa prezesa PiS Jarosława Kaczyńskiego, przewodniczącego KP PiS Mariusza Błaszczaka i rzecznika PiS Rafała Bochenka. Oglądaj na kanałach Onetu.;[('poniedziałek 9 grudzień', 'date', (2, 26)),('godz. 12', 'time', (29,37)), ('PiS', 'orgName', (79, 82)), ('Jarosław Kaczyński', 'persName', (83, 105)),('KP PiS', 'orgName', (124, 130)),('Mariusz Błaszczak', 'persName', (131, 150)),('PiS', 'orgName', (163, 166)),('Rafał Bochenek', 'persName', (167, 182)),('Onet', 'orgName', (204, 209))]
Wolfgang Fink jest szefem niemieckiego oddziału Goldman Sachs, najbardziej znanego banku inwestycyjnego na świecie. Jest tam szczególnie blisko międzynarodowych inwestorów. W tym wywiadzie wyjaśnia, czy naprawdę desperacko spoglądają na Niemcy i w których sektorach pokłada największe nadzieje.;[('Wolfgang Fink', 'persName', (0, 13)),('Niemcy', 'placeName', (26,38)), ('Goldman Sachs', 'orgName', (48, 61)), ('Jarosław Kaczyński', 'persName', (83, 105)),('Niemcy', 'placeName', (237, 243))]
My sobie wyobrażamy, że to było jeden do jeden: wysiedlamy Niemców i przychodzą ludzie z Kresów. To nie do końca tak. Grupa osadników była bardzo zróżnicowana – podkreśla w Radiu Naukowym dr Karolina Ćwiek-Rogalska, kulturolożka i etnolożka z Instytutu Slawistyki Polskiej Akademii Nauk.;[('Niemcy', 'placeName', (59, 66)),('Kresy', 'geogName', (89,95)), ('Radio Naukowe', 'orgName', (173, 187)), ('Karolina Ćwiek-Rogalska', 'persName', (191, 214)),('Instytut Slawistyki Polskiej Akademii Nauk', 'orgName', (243, 286))]
"Na madryckim lotnisku Barajas rozpoczął się we wtorek kilkudniowy strajk, który może doprowadzić do odwołania do dwóch tysięcy lotów - poinformował portal dziennika ekonomicznego ""Cinco Dias"". Uczestniczący w strajku pracownicy domagają się między innymi poprawy warunków zatrudnienia.";[('Barajas', 'placeName', (23, 30)),('wtorek', 'date', (48, 54)), ('Cinco Dias', 'orgName', (181, 191))]
W Malibu niedaleko Los Angeles szaleje pożar, który od poniedziałkowego wieczoru strawił już blisko 900 hektarów terenu. Do walki z żywiołem kierowani są kolejni strażacy. Ogień zagraża domom, a także lokalnemu uniwersytetowi, dlatego też władze nakazały ewakuacje kilku tysiącom osób.;[('Malibu', 'placeName', (3, 9)), ('Los Angeles', 'orgName', (20, 31))]
Agencja Reuters opublikowała zdjęcia satelitarne, które pokazują rosyjską bazę marynarki wojennej w porcie Tartus przed i po obaleniu Baszara al-Asada. Widać na nich różnicę w liczbie okrętów.;[('Reuters', 'orgName', (9, 16)), ('Tartus', 'placeName', (108, 114)), ('Baszara al-Asada', 'persName', (135, 151))]
W niektórych regionach Chorwacji śnieg sypał od niedzieli. Miejscami spadło go już ponad 30 centymetrów. Przez nagromadzenie dużej ilości opadów niektórzy mieszkańcy zmagają się z brakiem prądu.;[('Chorwacji', 'placeName', (24, 33)), ('niedzieli', 'date', (49, 58))]
W Australii wymierają w zastraszającym tempie bezkręgowce - wynika z najnowszego badania naukowców. Od końca XVIII wieku liczba gatunków tych zwierząt zmniejszyła się o ponad dziewięć tysięcy. Specjaliści zwracają uwagę na to, że konieczne jest podjęcie działań, które mogłyby zastopować ten niebezpieczny dla ludzkości proces.;[('Australii', 'placeName', (3, 12)), ('XVIII', 'date', (110, 115))]
Tej nocy oraz w środę rano zimowa aura będzie zagrożeniem w wielu regionach Polski. Instytut Meteorologii i Gospodarki Wodnej ostrzega przed opadami marznącymi oraz oblodzeniem. Sprawdź, gdzie obowiązują żółte alarmy.;[('Polski', 'placeName', (77, 83)), ('Instytut Meteorologii i Gospodarki Wodnej', 'orgName', (85, 126))]
Czy tej zimy na Pacyfiku pojawi się La Nina? Jak wynika z badań Japońskiej Agencji Meteorologicznej, na oceanie występują w tym momencie zjawiska towarzyszące anomalii. Eksperci zastanawiają się jednak, czy La Nina ma szansę się utrzymać i jak długo potrwa.;[('Pacyfiku', 'geogName', (17, 25)), ('Japońskiej Agencji Meteorologicznej', 'orgName', (65, 100))]
Rok 2024 najprawdopodobniej będzie najcieplejszy w historii pomiarów. Potwierdzają to dane z pierwszych 11 miesięcy opublikowane przez europejskie centrum Copernicus. Eksperci ostrzegają, że może być to pierwszy rok, w którym globalna temperatura przekroczy granicę 1,5 stopnia Celsjusza powyżej wartości sprzed epoki przemysłowej.;[('2024', 'date', (5, 9)), ('Copernicus', 'orgName', (156, 166))]
Ściśle chroniony gatunek czarnej pszczoły zaobserwowano na kampusie Uniwersytetu Wrocławskiego. Zadrzechnia czarnoroga jest owadem ciepłolubnym, a w Polsce należy do rzadkości.;[('Uniwersytetu Wrocławskiego', 'orgName', (69, 95)), ('Polsce', 'placeName', (150, 156))]
Premier Donald Tusk zapowiedział, że Polska będzie odgrywać aktywną rolę w negocjacjach między Rosją i Ukrainą.;[('Donald Tusk', 'persName', (9, 20)), ('Polska', 'placeName', (38, 44)), ('Rosją', 'placeName', (96, 101)), ('Ukrainą', 'placeName', (104, 111))]
Przywódca Białorusi Aleksandr Łukaszenko w czasie roboczej wizyty w mieście Borysów ostrzegał, że w przypadku ataku na Białoruś do obrony jego kraju może zostać użyta rosyjska broń atomowa.;[('Białorusi', 'placeName', (11, 20)), ('Aleksandr Łukaszenko', 'persName', (21, 41)), ('Borysów', 'placeName', (77, 84)), ('Białoruś', 'placeName', (120, 128))]
Ubiegłej nocy izraelska marynarka wojenna miała przeprowadzić zakrojoną na szeroką skalę operację, której celem było zatopienie floty, jaką dysponował reżim Baszara Asada - podaje „Times of Israel”.;[('Baszara Asada', 'persName', (158, 171)), ('Times of Israel', 'orgName', (182, 197))]
Premier Izraela Beniamin Netanjahu oświadczył, że okupowane przez Izrael Wzgórza Golan pozostaną na zawsze częścią terytorium Izraela.;[('Izraela', 'placeName', (9, 16)), ('Beniamin Netanjahu', 'persName', (17, 35)), ('Izrael', 'placeName', (67, 73)), ('Wzgórza Golan', 'geogName', (74, 87)), ('Izraela', 'placeName', (127, 134))]
Prognozowana długość życia Amerykanów niepokoi naukowców. Do 2050 roku Stany Zjednoczone będą pod tym względem daleko w tyle za innymi krajami wysoko rozwiniętymi. Eksperci wskazują przyczyny i przestrzegają przed „kryzysem zdrowia publicznego o niewyobrażalnej skali”.;[('2050', 'date', (62, 66)), ('Stany Zjednoczone', 'placeName', (72, 89))]
Iga Świątek poprowadziła reprezentację Polski do historycznego półfinału Billie Jean King Cup. Teraz organizatorzy wybierają zwyciężczynię nagrody BJK Cup Heart Award. Fani są oburzeni nominacjami. Tak zareagowali na absencję Polki.;[('Iga Świątek', 'persName', (1, 12)), ('Polski', 'placeName', (40, 46)), ('Billie Jean King Cup', 'orgName', (74, 94)), ('BJK Cup Heart Award', 'orgName', (148, 167))]
Tuż przed meczem Ligi Mistrzów z Borussią Dortmund Inaki Pena wysłał sygnał Wojciechowi Szczęsnemu. Hiszpański bramkarz otwarcie powiedział na konferencji prasowej o swojej sytuacji i podziękował trenerowi. Wspomniał także o treningach z Polakiem.;[('Ligi Mistrzów', 'orgName', (18, 31)), ('Borussią Dortmund', 'orgName', (34, 51)), ('Inaki Pena', 'persName', (52, 62)), ('Wojciechowi Szczęsnemu', 'persName', (77, 99))]
W nocy z 21 na 22 grudnia w stolicy Arabii Saudyjskiej – Rijadzie odbędzie się wieczór bokserski, którego głównym wydarzeniem będzie rewanżowy pojedynek Ukraińca Ołeksandra Usyka (22-0-0) z Brytyjczykiem Tysonem Furym (34-1-1). W pierwszej walce Usyk pokonał Fury'ego niejednogłośną decyzją i został absolutnym mistrzem świata.;[('21 na 22 grudnia', 'date', (10, 26)), ('Arabii Saudyjskiej', 'placeName', (37, 55)), ('Rijadzie', 'placeName', (58, 66)), ('Ołeksandra Usyka', 'persName', (163, 179)), ('Tysonem Furym', 'persName', (205, 218)), ('Usyk', 'persName', (247, 251)), ('Fury\'ego', 'persName', (260, 268))]
Australijski tenisista Nick Kyrgios jest jedną z niewielu gwiazd tenisa, które publicznie zaatakowały Jannika Sinnera i Igę Świątek za przyłapanie ich na stosowaniu dopingu. Były numer 13 na świecie wciąż wyraża pretensje wobec tenisowych dopingowiczów.;[('Nick Kyrgios', 'persName', (24, 36)), ('Jannika Sinnera', 'persName', (103, 118)), ('Igę Świątek', 'persName', (121, 132))]
Sebastian Chmara został wybrany nowym prezesem Polskiego Związku Lekkiej Atletyki podczas podczas Krajowego Zjazdu Delegatów w Centrum Olimpijskim w Warszawie. Rekordzista Polski w dziesięcioboju był jedynym kandydatem. Jego kadencja potrwa cztery lata.;[('Sebastian Chmara', 'persName', (1, 17)), ('Polskiego Związku Lekkiej Atletyki', 'orgName', (48, 82)), ('Krajowego Zjazdu Delegatów', 'orgName', (99, 125)), ('Centrum Olimpijskim', 'orgName', (128, 147)), ('Warszawie', 'placeName', (150, 159)), ('Polski', 'placeName', (173, 179))]
Jeśli szukasz MacBooka Pro z wyświetlaczem Retina, nadszedł czas. Panele siatkówki Samsunga to te, które nie mają problemów, a przy zakupie masz ujęcie 50/50, aby uzyskać albo Samsunga, albo LG. Jednak z tą wiadomością wydaje się, że to twój ostatni strzał. ;"[(""Samsunga"", ""orgName"", (83, 91))]"
Szczerze mówiąc, jeśli świat pójdzie w górę, bitcoin będzie moją pierwszą bezpieczną przystanią. Żadnych kłopotów z wydostaniem się z kraju, żadnego ciężkiego przemysłu wojennego do utrzymania, żadnej szansy, że niestabilność rządu wpłynie na moje posiadłości. Wyobraź sobie, że jesteś teraz Syryjczykiem. Czy nie byłoby lepiej, gdyby twoje życiowe oszczędności były w bitcoinie i nie musiałbyś martwić się o swoje pieniądze, gdy chciałbyś szukać schronienia w Europie? Wyobraź sobie, że jesteś Ukraińcem, mieszkasz na Krymie i *nie* jesteś Rosjaninem. To militarne wsparcie dla euro nie znaczy wtedy dla ciebie absolutnie nic. Bitcoin jest egzekwowany przez ludzi, którzy go używają. Wszyscy mamy w grze skórę i wszyscy chcemy chronić twoje posiadłości. Dlatego w naszym najlepszym interesie jest utrzymanie tego protokołu. To właśnie ten aspekt kryptowaluty uwalnia nas od stron trzecich, które muszą „wymusić” wartość waluty. ;"[(""Europie"", ""placeName"", (461, 468)), (""Krymie"", ""placeName"", (519, 525))]"
Czy te pieniądze podlegają opodatkowaniu w USA? Z tego, co opisałeś, prawdopodobnie byłeś rezydentem podatkowym w USA. W związku z tym podlegasz opodatkowaniu od swoich dochodów na całym świecie. Zagraniczne schematy odroczenia podatku nie są uważane za kwalifikujące się zgodnie z prawem Stanów Zjednoczonych (chyba że traktat stanowi inaczej), więc jesteś teraz odpowiedzialny za ich opodatkowanie. Zdobądź nowego doradcę podatkowego.;"[(""USA"", ""placeName"", (43, 46)), (""USA"", ""placeName"", (114, 117)), (""Stanów Zjednoczonych"", ""placeName"", (289, 309))]"
Usługi RH Power Utilities Pvt Ltd stale się rozwijają i zwiększają zakres naszych usług naprawy wrzecion. Dziś zapewniamy zaawansowaną analizę i testowanie wrzecion oraz naprawy i przebudowy. mamy stowarzyszony, wyszkolony i w pełni wykwalifikowany zespół inżynierów i techników, który utrzymuje najnowsze osiągnięcia w zakresie łożysk wrzeciona, silnika wrzeciona i wyposażenia wrzeciona - wszystko po to, aby zaspokoić dynamiczne potrzeby klientów.;"[(""RH Power Utilities Pvt Ltd"", ""orgName"", (7, 33))]"
Jeśli potrzebujesz tylko kupować rzeczy online, możesz rozważyć użycie PayPal? Jeśli naprawdę potrzebujesz konta bankowego, możesz również spojrzeć na zagraniczne konto bankowe, HSBC ma konta w wielu walutach, ale będziesz musiał się kwalifikować (mieć mnóstwo pieniędzy i dostarczyć trochę dokumentacji).;"[(""HSBC"", ""orgName"", (178, 182))]"
"„Podczas gdy szefowie firmy Chipotle przyznali, że queso było zdecydowanie najbardziej pożądaną przez klientów pozycją w menu, sieć burrito przez lata walczyła o stworzenie przepisu na queso, który spełniałby jej surowe wymagania dla wszystkich naturalnych produktów spożywczych, a jednocześnie dobrze smakował. „Dodatki sprawiają, że typowe queso jest bardzo spójne i przewidywalne, ale wcale nie są zgodne z naszą kulturą żywieniową”, źródło: https://www.thrillist.com/news/nation/chipotle-queso-dip-ingredients-recipe """;"[(""Chipotle"", ""orgName"", (28, 36))]"
